id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,lum,var,var_min,var_max
0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,0.656,0.000005,0,0,0,0,0,0,0,0,0,1,,,
122,122,224889,9084,,The Oct,,0.026616,-77.065724,66.5779,-56.52,-176.95,24,4.78,0.663,1.254,14.902031,0.103716,-64.888859,-0.00005004,-0.00001859,-0.00003671,0.00696808335394281,-1.34505063043081,-0.0000002740166922,-0.000000857877807,47.2933414918652,,,
154,154,224935,9089,,30    Psc,,0.032672,-6.014072,132.4503,46.62,-41.32,-12,4.37,-1.24,1.631,131.716394,1.126662,-13.877167,-0.00001524,0.0000298,-0.0000251,0.00855347867620641,-0.104965358843855,0.0000002260201379,-0.000000200325012,272.897778280804,YY,4.418,4.308
300,301,225132,9098,,2    Cet,,0.06233,-17.335988,83.4725,28.57,-7.28,-5,4.55,-0.058,-0.047,79.670013,1.300177,-24.872663,-0.00000595,0.00001147,-0.00000129,0.0163180279735997,-0.302570063826306,0.0000001385112685,-0.000000035294435,91.8755601666062,,,
355,355,225212,9103,,3    Cet,,0.075033,-10.509523,641.0256,-6.49,-11.88,-42,4.99,-4.044,1.619,630.150175,12.379991,-116.922329,-0.00004856,-0.00002113,-0.00002846,0.0196435746864312,-0.183425783963819,-0.0000000314644079,-0.000000057595865,3610.77145100353,,,
441,443,28,3,,33    Psc,,0.088928,-5.707618,39.4945,-8.29,88.19,-6,4.61,1.627,1.029,39.287997,0.914841,-3.927804,-0.00000439,-0.00000169,0.00001741,0.0232813053282765,-0.09961672987464,-0.0000000401910541,0.000000427557184,19.4625615936124,BC,4.62,4.6
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12,2.07,-0.297,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.0365971627080156,0.507723818465945,0.0000006577952018,-0.000000790003892,114.498553469019,Alp,2.083,2.063
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.0400258528303233,1.03235840436763,0.0000025374663227,-0.000000874700842,30.0607630262823,Bet,2.303,2.263
763,765,496,25,Gl 9.1,Eps Phe,,0.156836,-45.747426,44.2087,122.15,-180.13,-9.2,3.88,0.652,1.013,30.82377,1.266396,-31.665333,-0.00003526,0.00002475,-0.0000202,0.0410596787492195,-0.798443209330218,0.0000005921999108,-0.000000873294882,47.7749234659094,,,
908,910,693,33,Gl 10,6    Cet,,0.187739,-15.467977,18.7477,-84.2,-269.31,14.6,4.89,3.525,0.487,18.046958,0.887717,-5.000042,0.00000823,-0.00000726,-0.00002757,0.0491498571352085,-0.269967134452576,-0.000000408213119,-0.000001305651723,3.38844156139202,,,
1065,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4,2.83,-2.567,-0.19,115.664183,6.687324,31.442127,0.00000504,0.00000303,-0.00000356,0.0577524133796261,0.265003740449339,0.000000022786243,-0.000000039948647,926.403100736399,Gam,2.846,2.816
1166,1168,1013,45,,89Chi Peg,,0.243378,20.206702,112.8668,90.66,1.88,-46,4.79,-0.473,1.572,105.704826,6.744268,38.98495,-0.00004757,0.00004667,-0.00001528,0.0637162239057244,0.352673475751849,0.0000004395320828,0.000000009114497,134.648028838785,,,
1169,1170,1038,48,,7    Cet,,0.244005,-18.932866,137.1742,-27.15,-73.78,-23,4.44,-1.246,1.64,129.488149,8.283,-44.507481,-0.00003694,-0.00002045,-0.00003878,0.0638802752645001,-0.330440840835914,-0.0000001316269143,-0.000000357695533,274.410041825657,AE,4.484,4.384
1363,1366,1280,63,,24The And,,0.284863,38.681636,94.697,-50.01,-17.9,1,4.61,-0.272,0.059,73.717927,5.507828,59.184918,0.00000763,-0.00002245,-0.00000578,0.0745769335159356,0.67512190066058,-0.0000002424553216,-0.000000086781648,111.892248195524,,,
1470,1473,1404,68,,25Sig And,,0.305463,36.785224,41.3223,-66.51,-42.48,-8,4.51,1.429,0.054,32.988623,2.643715,24.744457,-0.00000039,-0.0000134,-0.00001171,0.0799700055661843,0.642023274947554,-0.0000003224495789,-0.000000205948851,23.3560824662522,,,
1559,1562,1522,74,,8Iot Cet,,0.323799,-8.823921,84.1751,-14.37,-37.84,19,3.56,-1.066,1.214,82.880324,7.042663,-12.912353,0.00001727,-0.00000442,-0.00001824,0.0847702514073984,-0.15400648121809,-0.0000000696677259,-0.000000183453496,232.487710150165,,,
1595,1599,1581,77,Gl 17,Zet Tuc,,0.334142,-64.874791,8.5866,1707.56,1165.36,9,4.23,4.561,0.576,3.631914,0.318885,-7.774227,0.00004144,0.00007498,0.00001226,0.0874781017392323,-1.13227869803381,0.0000082784844837,0.000005649824707,1.30496841413022,,,
2016,2021,2151,98,Gl 19,Bet Hyi,,0.427916,-77.254247,7.4588,2220.12,324.37,22.9,2.82,3.457,0.618,1.635267,0.184517,-7.275205,0.00000754,0.00008163,-0.00002026,0.112028110147992,-1.34834096383632,0.0000107634454847,0.000001572590135,3.60744733864192,,,
2069,2072,2262,100,Gl 20,Kap Phe,,0.436716,-43.679829,23.8095,106.14,32.83,11.3,3.93,2.046,0.175,17.106924,1.964466,-16.443574,0.00000951,0.00001342,-0.00000524,0.114332017585855,-0.762356840312104,0.0000005145812405,0.000000159164331,13.2312233311337,,,
2076,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75,2.4,0.327,1.083,19.083654,2.198282,-17.483284,0.00002323,0.00003218,-0.00008456,0.114682902957825,-0.738378668832116,0.0000011284523229,-0.000001714495099,64.4465984741688,,,
2204,2210,2429,105,,Eta Scl,,0.465472,-33.007167,138.5042,-20.48,-50.39,11,4.86,-0.847,1.634,115.288699,14.119065,-75.449377,-0.00000726,-0.00001474,-0.0000345,0.121860392213884,-0.576083740604114,-0.0000000992898418,-0.000000244297613,190.020300257723,Eta,4.94,4.81
