id,proper,mag,absmag,ci,x,y,z
0,Sol,-26.7,4.85,0.656,0.000005,0,0
122,,4.78,0.663,1.254,14.902031,0.103716,-64.888859
154,,4.37,-1.24,1.631,131.716394,1.126662,-13.877167
300,,4.55,-0.058,-0.047,79.670013,1.300177,-24.872663
355,,4.99,-4.044,1.619,630.150175,12.379991,-116.922329
441,,4.61,1.627,1.029,39.287997,0.914841,-3.927804
676,Alpheratz,2.07,-0.297,-0.038,25.974572,0.951042,14.461264
744,Caph,2.28,1.155,0.38,8.600014,0.344589,14.409503
763,,3.88,0.652,1.013,30.82377,1.266396,-31.665333
908,,4.89,3.525,0.487,18.046958,0.887717,-5.000042
1065,Algenib,2.83,-2.567,-0.19,115.664183,6.687324,31.442127
1166,,4.79,-0.473,1.572,105.704826,6.744268,38.98495
1169,,4.44,-1.246,1.64,129.488149,8.283,-44.507481
1363,,4.61,-0.272,0.059,73.717927,5.507828,59.184918
1470,,4.51,1.429,0.054,32.988623,2.643715,24.744457
1559,,3.56,-1.066,1.214,82.880324,7.042663,-12.912353
1595,,4.23,4.561,0.576,3.631914,0.318885,-7.774227
2016,,2.82,3.457,0.618,1.635267,0.184517,-7.275205
2069,,3.93,2.046,0.175,17.106924,1.964466,-16.443574
2076,Ankaa,2.4,0.327,1.083,19.083654,2.198282,-17.483284
2204,,4.86,-0.847,1.634,115.288699,14.119065,-75.449377
2466,,4.76,1.14,0.018,34.558503,4.767165,-39.85461
2478,,4.36,1.275,-0.064,18.64771,2.582977,-36.881102
2479,,4.53,0.965,0.147,23.255404,3.222589,-46.009047
2499,,4.74,-0.577,-0.098,66.52975,9.282854,94.252351
2592,,4.17,-15.83,0.13,45034.191856,6529.619087,89046.536344
2906,,4.34,-1.978,-0.123,150.645938,24.453844,101.857872
2914,Fulu,3.69,-2.608,-0.196,105.743565,17.207892,146.901502
3025,,4.34,0.835,0.871,43.176578,7.332959,24.588338
3086,,3.27,0.72,1.268,27.363473,4.742224,16.595166
3172,Schedar,2.24,-1.985,1.17,37.984817,6.784483,58.379619
3238,,4.59,0.204,0.953,51.420268,9.373821,-54.285737
3293,,4.8,-3.41,-0.105,274.222888,50.904565,338.492753
3398,,4.36,-0.031,0.024,39.897951,7.638724,-63.674097
3407,,4.95,1.301,0.17,35.934654,6.898434,39.272564
3413,Diphda,2.04,-0.312,1.019,27.583638,5.310463,-9.119792
3448,,4.77,0.494,0.998,69.103848,13.491898,-13.188762
3496,,4.48,-2.187,-0.069,140.690195,27.809754,160.874126
3685,,4.08,0.263,1.1,51.755023,10.844894,23.839349
3778,,4.44,-0.458,1.5,92.459279,19.940749,12.595285
3793,,4.9,-0.606,-0.091,77.715955,16.814743,98.08037
3814,Achird,3.46,4.586,0.587,3.098462,0.674227,5.038376
3871,,4.53,-1.857,-0.136,139.406857,30.787155,124.45018
4137,,4.78,-1.495,1.55,175.031944,41.221192,-3.591689
4142,,4.8,3.436,0.54,8.810315,2.077392,16.413746
4282,,4.83,-0.185,1.216,50.420166,12.338344,86.296046
4412,Castula,4.62,0.684,0.957,30.437701,7.68286,52.6216
4417,Cih,2.15,-3.981,-0.046,79.836717,20.168018,146.837047
4426,,3.86,0.862,0.13,30.180673,7.630372,24.761577
4453,,4.4,0.161,0.94,62.61915,15.963361,27.988017
4567,,4.3,-2.584,-0.154,200.770598,52.489589,-116.727788
4896,,4.27,0.539,0.952,53.144471,14.974142,7.651854
5154,,3.32,-16.68,0.885,65728.03719,19495.774096,-72799.31262
5337,Wurren,3.94,-0.869,-0.12,49.896436,15.346501,-75.238648
5353,,3.46,0.561,1.161,35.733354,11.025427,-6.716585
5361,,4.24,-0.43,1.213,5.357793,1.65718,85.727534
5423,,4.26,-2.45,0.012,142.401313,44.559066,161.368161
5436,Mirach,2.07,-1.84,1.576,46.946371,14.741814,35.255129
5530,,4.34,1.279,0.17,22.283015,7.143859,33.605678
5559,,4.66,-0.693,1.024,104.513869,33.683383,42.227416
5574,,4.51,0.94,1.092,42.613504,13.776233,25.950131
5730,,4.67,-1.01,1.047,118.013398,39.343134,56.911417
5849,,4.97,4.073,0.571,10.023612,3.411601,-10.786636
5884,,4.25,2.643,0.48,7.143194,2.45156,-19.547464
6179,,4.74,-0.136,0.032,78.942697,28.524892,43.257068
6228,,4.95,-15.05,0.683,49467.137003,18024.596194,85018.328882
6397,Adhil,4.87,0.781,1.077,43.117698,16.194066,46.916563
6523,,3.6,0.886,1.065,32.241501,12.380133,-4.96651
6656,,4.9,0.173,1.231,79.449924,31.144316,-22.226489
6672,Ruchbah,2.66,0.24,0.16,14.082378,5.53413,26.457567
6678,,4.72,0.836,1.047,20.730917,8.159197,55.504166
6799,,4.83,2.547,0.421,18.641784,7.499275,20.380957
6853,,3.41,-0.866,1.542,48.291055,19.600485,-49.144111
6993,,4.84,-0.007,1.372,85.579481,35.529252,9.974354
7068,,3.93,0.734,0.972,26.31178,11.067445,-32.92116
7083,Alpherg,3.62,-1.531,0.974,95.233975,40.171366,28.364911
7280,,4.68,0.655,0.991,29.942244,13.008585,54.833867
7499,Titawin,4.1,3.45,0.536,9.229933,4.147969,8.92295
7574,Achernar,0.45,-2.705,-0.158,21.065573,9.568417,-35.951967
7593,Nembus,3.59,-0.085,1.275,32.669331,14.886999,40.762548
7803,,4.96,-1.736,-0.068,150.121031,70.465886,142.023934
7869,,4.45,-0.784,1.347,100.168039,47.473101,10.649285
7903,,4.96,4.434,0.618,8.465575,4.02816,8.624862
7984,,4.98,-2.831,1.378,328.229658,157.834292,-23.489626
8053,,4.01,-2.705,-0.098,125.512408,60.986585,170.421939
8087,,3.49,5.678,0.727,3.154083,1.539508,-1.00226
8183,Torcular,4.26,-0.405,0.942,75.808974,37.546943,13.637807
8481,,4.66,2.834,0.333,20.228295,10.483677,-4.299405
8628,Baten Kaitos,3.74,-0.548,1.136,62.65906,33.12747,-12.925362
8777,Mothallah,3.42,1.979,0.488,14.872602,7.99818,9.584806
8813,Mesarthim,3.88,0.372,-0.047,41.769649,22.568336,16.620371
8814,,4.61,0.912,0.928,48.236339,26.069281,3.053521
8818,,4.39,-0.712,1.597,63.693781,34.455513,-75.786103
8867,Segin,3.35,-2.156,-0.15,49.169644,26.806887,113.163436
8884,Sheratan,2.64,1.365,0.165,14.752622,8.063457,6.389157
8909,,4.68,0.547,0.931,22.365936,12.262188,-62.029417
8989,,3.69,2.432,0.844,9.696827,5.372709,-13.991232
8990,,4.97,-1.693,-0.084,68.369027,37.897739,200.343411
9042,,4.92,-0.252,1.434,87.291762,48.720739,-41.462783
9076,,4.82,0.413,0.864,44.938717,25.210184,-56.006405
9135,,4.79,1.807,0.29,31.505782,17.812162,15.809093
9217,,2.86,1.147,0.29,9.103629,5.191033,-19.357346
9328,,3.99,-0.776,1.554,72.537969,41.881981,-32.283342
9460,,4.49,1.754,0.164,9.93903,5.852056,33.32112
9467,Alrescha,3.82,0.498,0.024,39.728779,23.413015,2.226137
9485,,4.99,-1.754,-0.071,111.632689,65.954843,181.694021
9577,,3.95,0.536,-0.002,12.488444,7.46198,45.920103
9618,Almach,2.1,-3.305,1.37,76.368059,45.840864,81.131974
9655,,4.68,-0.6,-0.156,84.934027,51.281306,-55.669463
9861,Hamal,2.01,0.486,1.151,15.731986,9.751722,8.03361
9954,,4.78,0.937,0.12,39.240709,24.636572,36.016533
10030,,4.98,0.245,0.339,67.224647,42.588967,38.710457
10041,,3,0.051,0.14,26.909766,17.068198,22.302471
10256,,4.94,0.19,0.77,64.466842,42.013918,44.970869
10300,,4.36,-0.99,0.878,97.101875,63.662733,18.071856
10316,,4.84,-1.216,1.476,97.371981,63.974858,113.424253
10578,,3.56,0.194,-0.12,24.277871,16.454316,-36.88702
10620,,4.84,4.676,0.607,7.36921,5.020051,6.065246
10645,,4.03,1.345,0.019,23.617959,16.128369,19.179839
10975,,4.08,0.921,0.034,12.697968,9.036411,-39.890188
11286,,4.73,-0.54,1.532,58.248225,42.953597,87.10771
11318,,4.88,-0.848,-0.027,109.868541,81.261421,-29.771764
11380,,4.24,-1.722,-0.136,83.993856,62.712836,-115.214518
11457,,4.3,0.438,-0.053,46.745585,35.276211,8.71048
11542,,4.46,1.41,0.153,12.456271,9.477611,37.605991
11734,Polaris,1.97,-3.643,0.636,1.3431,1.047629,132.614909
11755,,4.74,2.608,0.454,20.289578,15.864382,-7.019183
11888,,4.96,-0.897,-0.05,102.355734,81.304512,-70.185255
12062,,4.87,-0.221,0.88,80.687079,65.266003,10.163258
12355,,4.08,-2.416,-0.212,152.884758,127.698502,1.142144
12357,,4.83,3.17,0.447,16.130169,13.482598,-4.419553
12360,,4.12,0.78,-0.061,13.225285,11.057012,-43.245786
12381,,4.74,1.977,0.061,20.044606,16.789617,-24.290419
12452,,4.11,0.787,1.006,27.095858,22.870882,-29.600515
12590,,4.91,2.992,0.582,14.037312,12.015355,15.611278
12673,Kaffaljidhma,3.47,1.532,0.093,18.440324,15.931398,1.377729
12686,,4.65,-0.459,-0.122,70.405829,60.907841,48.89097
12737,,4.24,-1.165,-0.122,88.240919,76.789504,-28.858845
12744,,4.1,3.868,0.514,5.480091,4.772164,8.42701
12795,,4.27,2.214,0.311,19.080598,16.72475,4.526074
12810,,4.47,3.705,0.481,10.131041,8.892749,-4.529443
12843,,4.83,0.128,0.058,24.908967,21.949375,-80.615286
13028,Lilii Borea,4.52,0.915,1.112,34.120953,30.698125,25.701009
13114,,4.45,0.831,0.981,33.071703,30.064017,-28.370335
13176,Bharani,3.61,0.081,-0.1,33.287607,30.498162,23.26243
13210,,4.76,-0.326,1.337,19.732423,18.156708,-100.544043
13221,,4.22,1.378,0.343,21.366064,19.67884,22.955795
13234,Miram,3.77,-3.383,1.69,111.116108,102.442422,223.184985
13254,Angetenar,4.76,0.969,0.906,39.279245,36.32166,-20.540573
13294,,4.56,-1.221,1.554,85.936298,79.796835,82.296682
13497,,3.93,-0.529,0.758,34.175398,32.504346,62.052515
13667,Azha,3.89,0.781,1.088,29.694338,28.782724,-6.474577
13813,Acamar,2.88,-0.59,0.128,26.85749,26.453029,-31.974932
13845,,4.68,-0.208,0.065,51.973098,51.41424,60.614272
13850,,4.98,0.201,0.126,28.076248,27.782942,-81.241239
13871,,4.94,-0.323,1.235,65.495403,64.961056,65.032724
13880,,4.63,-0.412,0.048,67.368381,66.906756,37.095654
13920,,4.71,-1.526,-0.109,123.577264,123.270329,27.356434
14100,Menkar,2.54,-1.875,1.63,53.342561,54.414384,5.448321
14112,,4.08,1.909,0.163,17.419759,17.787178,-10.889644
14292,,2.91,-1.453,0.716,30.696986,32.009546,59.949578
14318,,3.32,-1.553,1.528,50.772204,53.119196,59.165375
14346,,4.77,0.715,1.018,24.508776,25.723305,54.100758
14540,Algol,2.09,-0.112,-0.003,14.189428,15.238793,18.072114
14596,,4.05,3.936,0.595,4.634786,5.016825,8.029067
14632,Misam,3.79,1.097,0.98,16.593574,18.028979,24.381331
14781,,4.61,-0.121,1.115,45.694336,50.433482,56.323324
14802,Botein,4.35,0.769,1.033,32.830084,36.343153,17.561644
14826,,4.85,1.325,0.035,9.131248,10.135747,48.840454
14843,Dalim,3.8,3.033,0.543,8.329775,9.25728,-6.899408
15072,,4.87,0.344,-0.007,49.491233,56.385083,28.865954
15159,Zibal,4.8,2.165,0.232,21.831836,25.077889,-5.15902
15344,,4.86,0.391,0.904,46.893889,55.084739,-29.981486
15378,,4.85,-2.938,1.491,193.13896,227.601514,203.036213
15419,,4.84,5.035,0.681,5.88441,6.973226,0.537318
15436,,3.7,-1.151,1.614,55.881991,66.313063,-34.611249
15471,82 G. Eri,4.26,5.354,0.711,2.839238,3.381499,-4.127499
15481,,4.74,-2.103,-0.108,61.920738,73.786336,212.864571
15510,,4.47,-1.636,1.555,93.334252,111.566498,80.790225
15609,,4.96,1.638,0.051,21.424658,25.861789,31.680272
15824,Mirfak,1.79,-4.166,0.481,62.885098,77.880689,118.708804
15861,,3.61,-1.142,0.887,55.200207,68.663325,13.999272
16044,,3.73,-0.304,-0.082,39.077692,49.645163,10.836642
16108,,4.99,-1.041,-0.091,64.836812,83.02553,121.451613
16187,,4.21,-4.663,0.419,182.465205,235.803468,515.18103
16203,,4.67,-1.421,-0.096,65.571385,84.96773,125.70372
16204,,4.71,3.029,0.41,6.026531,7.809946,-19.30869
16241,,4.55,-4.88,0.489,242.150448,315.326967,658.519557
16294,,4.36,-0.852,1.367,44.768095,58.646849,81.928338
16300,,4.74,-0.726,-0.092,74.875272,98.125761,-10.961868
16328,,4.14,-0.965,1.112,61.947656,81.371655,23.491538
16496,Ran,3.72,6.183,0.881,1.89897,2.541426,-0.528523
16570,,4.26,-0.509,-0.106,49.785855,67.151682,-33.152769
16785,,4.32,-1.943,-0.058,69.8893,96.627834,133.343535
16811,,4.29,3.565,0.575,8.163865,11.327087,0.097883
16829,,4.57,0.321,1.023,31.528759,43.834385,-45.750304
17262,,4.99,-2.083,-0.159,124.650555,181.78943,-137.404463
17271,,4.97,-2.58,-0.048,151.663187,221.451739,180.804876
17309,,4.59,0.83,1.191,25.31594,37.123698,-34.247304
17316,,3.01,-2.986,-0.125,59.860731,87.855481,117.192812
17336,Rana,3.52,3.739,0.915,5.006502,7.370189,-1.533131
17398,,3.84,1.465,1.133,7.098485,10.543736,-27.019807
17406,Atik,3.84,-3.841,0.022,162.113525,241.065988,183.56674
17457,Electra,3.72,-1.748,-0.105,62.965631,94.124106,50.687766
17487,,3.77,-2.391,0.425,69.722894,104.539005,115.460753
